parent,children,instances
ADJP,"('$', 'CD', '-NONE-')",0.02142310635042081
ADJP,"('$', 'CD', 'JJ')",0.0007651109410864575
ADJP,"('$', 'JJ')",0.0007651109410864575
ADJP,"('$', 'JJ', '-NONE-')",0.005355776587605203
ADJP,"('-NONE-',)",0.009946442234123947
ADJP,"('ADJP', ',', 'ADJP')",0.0022953328232593728
ADJP,"('ADJP', ',', 'ADJP', ',', 'ADJP')",0.0007651109410864575
ADJP,"('ADJP', ',', 'ADJP', ',', 'ADJP', 'CC', 'ADJP')",0.0007651109410864575
ADJP,"('ADJP', ',', 'CC', ',', 'PP', ',', 'ADJP')",0.0007651109410864575
ADJP,"('ADJP', ',', 'CC', 'ADJP')",0.0007651109410864575
ADJP,"('ADJP', ',', 'CC', 'ADJP', ',')",0.0007651109410864575
ADJP,"('ADJP', 'CC', 'ADJP')",0.011476664116296864
ADJP,"('ADJP', 'CC', 'ADJP', 'SBAR')",0.0007651109410864575
ADJP,"('ADJP', 'CC', 'RB', 'ADJP')",0.0007651109410864575
ADJP,"('ADJP', 'CC', 'RB', 'ADVP', 'ADJP')",0.0007651109410864575
ADJP,"('ADJP', 'PP')",0.020657995409334353
ADJP,"('ADJP', 'S')",0.0022953328232593728
ADJP,"('ADJP', 'SBAR')",0.016067329762815608
ADJP,"('ADVP', 'IN', 'JJ', 'PP')",0.0007651109410864575
ADJP,"('ADVP', 'JJ')",0.008416220351951033
ADJP,"('ADVP', 'JJ', 'PP')",0.0007651109410864575
ADJP,"('ADVP', 'RB', 'JJ')",0.0007651109410864575
ADJP,"('ADVP', 'RB', 'JJR')",0.0007651109410864575
ADJP,"('ADVP', 'RB', 'PP', ',', 'ADVP')",0.0007651109410864575
ADJP,"('ADVP', 'VBN')",0.00306044376434583
ADJP,"('CD', 'CD', 'NN')",0.00612088752869166
ADJP,"('CD', 'JJ')",0.0007651109410864575
ADJP,"('CD', 'NN')",0.04361132364192808
ADJP,"('CD', 'NNS')",0.0007651109410864575
ADJP,"('DT',)",0.0007651109410864575
ADJP,"('DT', 'ADJP', 'CC', 'ADJP')",0.0007651109410864575
ADJP,"('IN', 'NN')",0.0007651109410864575
ADJP,"('IN', 'NP')",0.0007651109410864575
ADJP,"('IN', 'S')",0.0007651109410864575
ADJP,"('JJ',)",0.2019892884468248
ADJP,"('JJ', ',', 'CC', 'JJ')",0.0007651109410864575
ADJP,"('JJ', ',', 'JJ', ',', 'JJ', 'CC', 'NN')",0.0007651109410864575
ADJP,"('JJ', ',', 'JJ', 'CC', 'JJ')",0.0022953328232593728
ADJP,"('JJ', ',', 'RB', 'JJ')",0.0007651109410864575
ADJP,"('JJ', 'CC', 'JJ')",0.020657995409334353
ADJP,"('JJ', 'CC', 'JJ', 'PP')",0.0007651109410864575
ADJP,"('JJ', 'CC', 'NNP')",0.0007651109410864575
ADJP,"('JJ', 'CC', 'RB')",0.0007651109410864575
ADJP,"('JJ', 'CC', 'VBG')",0.0007651109410864575
